subdir;mode;model;risk_score;diffs_n;high;medium;low;confidence;winner
1104_KEYTRUDA_pembrolizumab_-_Cancer_de_lendomètre;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.95;GPT
1098_XELJANZ_tofacitinib_-_Arthrite_juvénile_idiopathiq;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.85;DeepSeek
1102_DELTYBA_delamanide_-_Tuberculose_pulmonaire_multir;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.85;DeepSeek
1112_OPDIVO_nivolumab_-_Carcinome_épidermoïde_de_lœsoph;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.85;GPT
1089_LEVOSIMENDAN_KALCEKS_lévosimendan_-_Insuffisance_c;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.95;GPT
1035_RIZMOIC_naldémédine;NORMAL;models/gemini-3-flash-preview;6.5;5;1;3;1;0.85;GPT
1116_IDEFIRIX_imlifidase;NORMAL;models/gemini-3-flash-preview;6.5;5;1;3;1;0.85;GPT
1022_OXBRYTA_voxelotor_-_Anémie_hémolytique_sévère;NORMAL;models/gemini-3-flash-preview;6.5;5;1;3;1;0.95;GPT
1042_TECEOS_butédronate_-_Amylose_cardiaque_à_transthyr;NORMAL;models/gemini-3-flash-preview;6.5;5;1;3;1;0.85;GPT
1009_LIBTAYO_cémiplimab_-_CBCla_ou_CBCm;NORMAL;models/gemini-3-flash-preview;6.5;5;1;3;1;0.9;DeepSeek
1002_RADELUMIN_18FPSMA-1007;NORMAL;models/gemini-3-flash-preview;6.5;5;1;3;1;0.95;GPT
103_KETOCONAZOLE_ARROW_kétoconazole_-_Pityriasis_versi;NORMAL;models/gemini-3-flash-preview;6.0;4;1;3;0;0.85;DeepSeek
1107_SKYRIZI__risankizumab_-_Rhumatisme_psoriasique;NORMAL;models/gemini-3-flash-preview;6.0;4;1;3;0;0.85;GPT
109_FLEBOGAMMA_DIF_immunoglobuline_humaine_normale_-_R;NORMAL;models/gemini-3-flash-preview;6.0;4;1;3;0;0.85;DeepSeek
1099_VOSEVI_sofosbuvir_voxilaprévir_velpatasvir_-_VHC;NORMAL;models/gemini-3-flash-preview;6.0;5;1;2;2;0.85;GPT
1115_OCTAGAM_immunoglobuline_humaine_normale_-_Neuropat;NORMAL;models/gemini-3-flash-preview;6.0;5;1;2;2;0.85;GPT
1028_XIGDUO_dapagliflozine_propanediol_monohydraté_metf;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;DeepSeek
1093_REPATHA_évolocumab__-_Hypercholestérolémie_familia;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.9;DeepSeek
1083_ZOPHREN_ondansétron_-_Nausées_et_vomissements_aigu;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;GPT
1048_OCTAGAM_immunoglobuline_humaine_normale_-_Dermatom;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;GPT
1026_PARACETAMOL_ZENTIVA_LAB__paracétamol_-_Traitement_;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;GPT
1045_BORTEZOMIB_HOSPIRA_bortezomib_-_Myélome_multiple_e;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;GPT
1078_JYSELECA_filgotinib_-_Rectocolite_hémorragique;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;GPT
101_CEFAZOLINE_QILU_céfazoline_-_Céphalosporine_de_pre;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;GPT
1108_EVRENZO_roxadustat_-_Anémie_symptomatique;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;GPT
1090_NUCALA_mépolizumab_-_Granulomatose_éosinophilique_;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;DeepSeek
1086_RYEQO_rélugolixnoréthistéroneestradiol;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;GPT
1025_CIVARON_sodium_citrate_de_-_anticoagulation_région;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;DeepSeek
1109_AMIRIOX_bimatoprost;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;GPT
1010_DZUVEO_citrate_de_sufentanil;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;GPT
1092_CLOXACILLINE_STRAGEN_cloxacilline_sodique_-__Infec;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;GPT
1063_ZEPOSIA__ozanimod_chlorhydrate_d_-_Rectocolite_hém;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;GPT
1091_FIRMAGON_dégarélix_-_Cancer_de_la_prostate;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.9;GPT
1097_XELJANZ_tofacitinib_-_Arthrite_juvénile;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;DeepSeek
1076_XEMBIFY_immunoglobuline_humaine;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;DeepSeek
1111_GAVRETO_pralsétinib_-_Cancer_bronchique;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;GPT
1062_ORYLMYTE_Dermatophagoides_pteronyssinus_Dermatopha;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.85;DeepSeek
1041_ILUMETRI_tildrakizumab_-_Psoriasis_en_plaques_modé;NORMAL;models/gemini-3-flash-preview;5.5;4;1;2;1;0.95;DeepSeek
1060_METHOXSALENE_MACOPHARM__méthoxsalène_-_Lymphome_cu;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.95;GPT
1004_VERZENIOS_abémaciclib_-_Traitement_adjuvant_du_can;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.85;GPT
1064_THIAMAZOLE_UNI-PHARMA_5_mg_thiamazol;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.95;GPT
1100_EPCLUSA_sofosbuvir_velpatasvir_-_VHC;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.95;GPT
1012_RYALTRIS_chlorhydrate_dolopatadine_furoate_de_momé;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.9;GPT
1032_ATGAM_immunoglobuline_équine_anti-lymphocyte_T_hum;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.95;GPT
1082_JARDIANCE_ICC_empagliflozine;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.85;DeepSeek
1096_CELESTENE_bétaméthasone_-_Corticoïde;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.85;GPT
1049_KLIPAL_codéine_phosphate_de_hémihydraté_paracétamo;NORMAL;models/gemini-3-flash-preview;5.0;4;1;1;2;0.85;GPT
1038_GONADOTROPHINE_CHORIONIQUE_IBSA_gonadotrophine_cho;NORMAL;models/gemini-3-flash-preview;5.0;5;0;3;2;0.85;GPT
1059_PAXELADINE__citrate_doxéladine_-_Toux_non_producti;NORMAL;models/gemini-3-flash-preview;5.0;5;0;3;2;0.85;DeepSeek
1095_ASPIRINE_PROTECT_acide_acétylsalicylique_;NORMAL;models/gemini-3-flash-preview;4.5;3;1;1;1;0.85;GPT
110_PEGASYS_peginterféron_alfa-2a_-_Polyglobulie_de_Va;NORMAL;models/gemini-3-flash-preview;4.5;4;0;3;1;0.85;DeepSeek
1094_KEYTRUDA_pembrolizumab_-_Cancer_du_sein_triple_nég;NORMAL;models/gemini-3-flash-preview;4.5;4;0;3;1;0.85;DeepSeek
1056_RADELUMIN_18FPSMA-1007_-_Cancer_de_la_prostate;NORMAL;models/gemini-3-flash-preview;4.5;5;0;2;3;0.9;GPT
1050_OXYPRONAL_LP_oxycodonenaloxone_-__Douleur_sévère;NORMAL;models/gemini-3-flash-preview;4.0;4;0;2;2;0.85;DeepSeek
105_BUCCOLAM_midazolam_-_Epilepsie_chez_ladulte;NORMAL;models/gemini-3-flash-preview;4.0;4;0;2;2;0.95;DeepSeek
1046_CARMIN_DINDIGO_PROVINGO_indigotine_carmin_dindigo_;NORMAL;models/gemini-3-flash-preview;4.0;4;0;2;2;0.85;GPT
108_TEICOPLANINE_HIKMA_téicoplanine_-_Glycopeptide_ant;NORMAL;models/gemini-3-flash-preview;4.0;4;0;2;2;0.9;GPT
1103_OPDIVO_nivolumab__-_Adénocarcinome_gastrique_de_la;NORMAL;models/gemini-3-flash-preview;0.0;0;0;0;0;;
